Pontos,Lat,Long,Pequenos,Médios,Grandes,Cones,Data,anotador
1,-27.6196694444444,-48.5106805555556,0,4,0,0,2023-10-24,Lucas
2,-27.6195805555556,-48.5104416666667,2,5,0,0,2023-10-24,Lucas
3,-27.6194,-48.5103277777778,1,2,0,0,2023-10-24,Lucas
4,-27.6194305555556,-48.5104944444445,0,1,0,0,2023-10-24,Lucas
5,-27.6200138888889,-48.5111972222222,1,0,0,0,2023-10-24,Lucas
6,-27.6212944444444,-48.5109638888889,1,0,0,0,2023-10-24,Lucas
7,-27.6217555555556,-48.5107472222222,12,2,0,0,2023-10-24,Lucas
8,-27.6218888888889,-48.5104111111111,23,2,0,0,2023-10-24,Lucas
9,-27.6215944444444,-48.5104416666667,6,23,5,0,2023-10-24,Lucas
10,-27.621525,-48.5101972222222,2,3,2,0,2023-10-24,Lucas
11,-27.6212583333333,-48.5098138888889,3,5,0,0,2023-10-24,Lucas
12,-27.6209083333333,-48.5098694444445,2,4,0,0,2023-10-24,Lucas
13,-27.6210833333333,-48.5095472222222,3,33,0,0,2023-10-24,Lucas
14,-27.6213055555556,-48.5093611111111,21,35,2,0,2023-10-24,Lucas
15,-27.6211611111111,-48.5096305555556,35,1,0,0,2023-10-24,Lucas
16,-27.6215333333333,-48.5095111111111,44,6,0,0,2023-10-24,Lucas
17,-27.6221861111111,-48.5101666666667,17,24,0,0,2023-10-24,Lucas
18,-27.6220166666667,-48.5103166666667,8,10,0,0,2023-10-24,Lucas
19,-27.6223972222222,-48.5105083333333,4,4,0,0,2023-10-24,Lucas
20,-27.6229583333333,-48.5107305555556,4,1,3,0,2023-10-24,Lucas
21,-27.6234277777778,-48.5102166666667,3,0,0,0,2023-10-24,Lucas
22,-27.6162222222222,-48.508575,0,18,0,0,2023-10-25,Lucas
23,-27.6218666666667,-48.5127666666667,1,1,0,0,2023-10-25,Lucas
24,-27.6219083333333,-48.5131388888889,1,3,1,0,2023-10-25,Lucas
25,-27.6217527777778,-48.5138666666667,2,10,0,0,2023-10-25,Lucas
26,-27.6217444444444,-48.5141472222222,9,7,0,0,2023-10-25,Lucas
27,-27.6240083333333,-48.5138638888889,11,9,0,0,2023-10-25,Lucas
28,-27.6237805555556,-48.5137166666667,0,0,4,0,2023-10-25,Lucas
29,-27.6238027777778,-48.5134777777778,4,0,0,0,2023-10-25,Lucas
30,-27.6237555555556,-48.5133694444444,15,15,0,0,2023-10-25,Lucas
31,-27.6233638888889,-48.5135805555556,2,1,1,0,2023-10-25,Lucas
32,-27.6232944444444,-48.5134444444444,10,4,0,0,2023-10-25,Lucas
33,-27.623225,-48.5132194444444,15,10,0,0,2023-10-25,Lucas
34,-27.6230111111111,-48.5127944444444,8,6,0,0,2023-10-25,Lucas
35,-27.6224361111111,-48.5134805555556,0,0,1,0,2023-10-25,Lucas
36,-27.6223555555556,-48.5137,7,4,0,0,2023-10-25,Lucas
37,-27.6207722222222,-48.5148,10,11,0,0,2023-10-25,Lucas
38,-27.620425,-48.5141888888889,5,16,3,1,2023-10-25,Lucas
39,-27.6198166666667,-48.5147333333333,0,3,0,0,2023-10-25,Lucas
40,-27.6180305555556,-48.5177833333333,1,0,0,0,2023-10-25,Lucas
